1	"2022-01-01"	"Wordle"	"Rachel"	2	3
2	"2022-01-01"	"Wordle"	"Rachel"	2	3
3	"2022-01-01"	"Wordle"	"Rachel"	2	3
4	"2022-01-01"	"Wordle"	"Draw"	3	3
5	"2022-01-01"	"Wordle"	"Draw"	3	3
6	"2022-01-01"	"Wordle"	"Draw"	3	3
7	"2022-01-01"	"Wordle"	"Draw"	3	3
8	"2022-01-01"	"Wordle"	"Rachel"	3	4
9	"2022-01-01"	"Wordle"	"Draw"	4	4
10	"2022-01-01"	"Wordle"	"Draw"	4	4
11	"2022-01-01"	"Wordle"	"Draw"	4	4
12	"2022-01-01"	"Wordle"	"Draw"	4	4
13	"2022-01-01"	"Wordle"	"Draw"	4	4
14	"2022-01-01"	"Wordle"	"Draw"	4	4
15	"2022-01-01"	"Wordle"	"Draw"	4	4
16	"2022-01-01"	"Wordle"	"Draw"	4	4
17	"2022-01-01"	"Wordle"	"Draw"	4	4
18	"2022-01-01"	"Wordle"	"Draw"	4	4
19	"2022-01-01"	"Wordle"	"Draw"	4	4
20	"2022-01-01"	"Wordle"	"Draw"	4	4
21	"2022-01-01"	"Wordle"	"Draw"	4	4
22	"2022-01-01"	"Wordle"	"Draw"	4	4
23	"2022-01-01"	"Wordle"	"Draw"	4	4
24	"2022-01-01"	"Wordle"	"Rachel"	4	5
25	"2022-01-01"	"Wordle"	"Rachel"	4	5
26	"2022-01-01"	"Wordle"	"Rachel"	4	5
27	"2022-01-01"	"Wordle"	"Draw"	5	5
28	"2022-01-01"	"Wordle"	"Draw"	5	5
29	"2022-01-01"	"Wordle"	"Draw"	5	5
30	"2022-01-01"	"Wordle"	"Draw"	5	5
31	"2022-01-01"	"Wordle"	"Draw"	5	5
32	"2022-01-01"	"Wordle"	"Draw"	5	5
33	"2022-01-01"	"Wordle"	"Draw"	5	5
34	"2022-01-01"	"Wordle"	"Draw"	5	5
35	"2022-01-01"	"Wordle"	"Draw"	5	5
36	"2022-01-01"	"Wordle"	"Edwin"	6	5
37	"2022-01-01"	"Wordle"	"Edwin"	6	5
38	"2022-01-01"	"Wordle"	"Draw"	6	6
